architecture,id,category,wall_clock_seconds,avg_cpu_pct,peak_ram_mb,total_tokens,prompt_tokens,completion_tokens,faithfulness,answer_relevancy,context_precision,context_recall
Uncapped,22,unanswerable,40.33,6.1,7084.42,4623,4424,199,0.857143,0.676267,1.0,0.0
Uncapped,23,unanswerable,44.76,6.92,8171.5,7623,7451,172,1.0,0.0,0.0,0.5
Uncapped,24,unanswerable,21.74,6.93,6401.47,2140,2031,109,0.5,0.0,0.0,0.0
Capped,0,single-hop,3.35,19.67,5976.17,1238,1156,82,0.75,0.856133,1.0,1.0
Capped,1,single-hop,8.55,8.42,6119.12,1257,1173,84,0.666667,0.935317,1.0,1.0
Capped,2,single-hop,7.24,10.32,6250.61,966,909,57,1.0,0.989952,1.0,1.0
Capped,3,single-hop,6.52,10.53,6106.31,1072,990,82,1.0,1.0,1.0,1.0
Capped,4,single-hop,7.89,8.99,6309.03,1067,1002,65,0.75,0.88891,1.0,1.0
Capped,5,single-hop,11.23,6.99,6531.67,1296,1157,139,1.0,0.95749,1.0,1.0
Capped,6,single-hop,8.57,8.14,6186.67,1166,1098,68,1.0,0.888526,1.0,1.0
Capped,7,single-hop,8.98,8.29,6396.16,1037,924,113,1.0,0.672649,1.0,1.0
Capped,8,single-hop,9.58,7.82,6613.03,1233,1140,93,0.833333,0.975663,1.0,1.0
Capped,9,single-hop,7.41,9.09,6172.41,1010,946,64,1.0,0.851159,1.0,1.0
Capped,10,single-hop,7.85,8.75,6362.05,1003,928,75,1.0,0.978174,1.0,1.0
Capped,11,single-hop,7.65,9.06,6549.75,1003,934,69,1.0,0.928049,1.0,1.0
Capped,12,multi-hop,6.94,9.81,6184.58,882,805,77,0.5,0.837385,1.0,0.5
Capped,13,multi-hop,7.44,9.64,6389.67,1096,1007,89,1.0,0.736365,1.0,1.0
Capped,14,multi-hop,9.44,7.85,6593.44,1139,1029,110,0.333333,0.945784,1.0,0.5
Capped,15,multi-hop,6.76,10.0,6184.77,880,809,71,1.0,0.825764,1.0,1.0
Capped,16,multi-hop,7.0,10.03,6333.53,861,786,75,0.5,0.899955,1.0,1.0
Capped,17,unanswerable,12.78,13.62,6762.53,1938,1859,79,0.666667,0.0,0.0,0.5
Capped,18,unanswerable,18.67,9.35,6568.77,2485,2402,83,0.25,0.0,0.0,0.0
Capped,19,unanswerable,20.22,9.03,7084.25,2548,2460,88,0.25,0.0,0.0,1.0
Capped,20,unanswerable,16.44,8.47,7410.02,2006,1912,94,0.666667,0.0,0.0,1.0
Capped,21,unanswerable,15.5,8.77,6361.34,2323,2215,108,1.0,0.753295,0.0,1.0
Capped,22,unanswerable,16.85,10.7,6863.81,3006,2920,86,0.25,0.0,0.0,0.5
Capped,23,unanswerable,14.87,9.05,6991.59,2248,2126,122,1.0,0.891045,0.0,0.5
Capped,24,unanswerable,15.5,8.67,6384.59,1858,1742,116,0.5,0.830035,0.0,0.0
